p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.6147728922483,0.852,0.365,0,0,Gm12610
0,2.36382646938296,0.626,0.166,0,0,Gm13791
0,1.49748536971447,0.797,0.396,0,0,Lockd
0,1.52005859689106,0.645,0.251,0,0,2700099C18Rik
0,1.57179779318708,0.929,0.589,0,0,Gm42047
9.40318719721949e-244,1.21179805293044,0.715,0.352,4.74108698483807e-240,0,9030622O22Rik
1.38347682438696e-194,1.31082997764196,0.528,0.224,6.97549014855903e-191,0,Eldr
3.99100842678845e-166,0.896243198500796,0.64,0.33,2.01226644878674e-162,0,Arhgap26
2.37364712624444e-150,1.12079152515194,0.553,0.277,1.19679288105245e-146,0,Crnde
2.1620074012877e-131,0.896001462805786,0.695,0.423,1.09008413172926e-127,0,Gm48530
1.77793249427151e-121,0.497078535222848,0.968,0.894,8.96433563611695e-118,0,Dleu2
1.80202924914345e-119,0.789574210256698,0.68,0.407,9.08583147418126e-116,0,AI506816
3.25405003823866e-114,0.488049382998874,0.878,0.837,1.64069202927993e-110,0,Xist
4.07792009196886e-114,1.5183693988621,0.276,0.103,2.0560873103707e-110,0,Gm11457
5.25542264249426e-98,1.86391544905631,0.196,0.064,2.6497840963456e-94,0,Gm41555
2.10218113830714e-89,0.579979298769764,0.743,0.494,1.05991972993446e-85,0,Gm11541
1.66182533203757e-88,0.841730425730392,0.42,0.216,8.37892332413341e-85,0,A730056A06Rik
1.88190119713696e-88,1.48605107376262,0.115,0.027,9.48854583596457e-85,0,H19
3.02447255695109e-87,1.29612426344148,0.214,0.078,1.52493906321474e-83,0,4631405J19Rik
6.06865977006407e-85,0.585363956226575,0.825,0.646,3.0598182560663e-81,0,Gm47283
1.39962763300805e-81,0.443112557139291,0.883,0.646,7.05692252562658e-78,0,Pvt1
3.5533869393249e-76,0.359989017989506,0.989,0.923,1.79161769480761e-72,0,2610307P16Rik
1.07534523951787e-74,0.499997778441576,0.568,0.345,5.42189069764912e-71,0,AU020206
3.50658756649188e-72,0.429809784423481,0.818,0.608,1.7680214510252e-68,0,Airn
3.64490063952565e-72,0.457025904337751,0.933,0.83,1.83775890244883e-68,0,E130307A14Rik
2.3527271872438e-71,0.495699084893833,0.751,0.529,1.18624504780832e-67,0,2610035D17Rik
7.94892088115132e-69,0.783103048640089,0.467,0.275,4.0078459082765e-65,0,2610316D01Rik
1.22986966831212e-68,0.629179801606011,0.657,0.448,6.20100286762972e-65,0,2610020C07Rik
1.41446308478597e-67,0.486091580508027,0.855,0.696,7.13172287349086e-64,0,Brip1os
4.87607197232071e-66,0.665657970934983,0.516,0.323,2.4585154884441e-62,0,Gm29478
1.10258758912824e-63,0.596407245526572,0.592,0.386,5.5592466243846e-60,0,Gm13883
1.80724797907959e-63,0.944902616681734,0.227,0.1,9.1121443105193e-60,0,C430049B03Rik
8.315650929412e-62,0.913625457984401,0.313,0.162,4.19275119860953e-58,0,2700038G22Rik
4.26225677882875e-58,1.30650756847757,0.187,0.079,2.14902986788546e-54,0,A830036E02Rik
1.15296067500082e-55,1.3477619234986,0.15,0.058,5.81322772335414e-52,0,Gm50322
